movies_name,movies_genre,movies_release_date,movies_run_time,movies_poster,movies_poster_url,movies_director,movies_starring_name
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Sumit Tandon as Dhruv's Father
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Namrata Chopra as Ira's Mother
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Kusha Kapila as Misha
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Shataf Figar as Ira's Father
Ghost Stories,Horror,1-Jan-20,"2 hours, 24 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ghost_Stories_2020_Poster.jpg/220px-Ghost_Stories_2020_Poster.jpg,https://en.wikipedia.org/wiki/File:Ghost_Stories_2020_Poster.jpg,"Karan Johar, Dibakar Bane, Anurag Kashyaprjee, Zoya Akhtar",Heeba N Shah as Shanti
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Crystal Fox as Grace Waters
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Phylicia Rashad as Sarah Miller/Betty Mills
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Bresha Webb as Jasmine Bryant
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Mehcad Brooks as Shannon DeLong/Maurice Mills
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Cicely Tyson as Alice
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Tyler Perry as Rory Garraux
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Adrian Pasdar as Prosecutor Bradley Tankerton
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Matthew Law as Jordan Bryant
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Michael Rose as Mr. Clyde
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,"Donovan Christie, Jr. as Donnie"
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Walter Fauntleroy as Malcom Waters
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Angela Marie Rigsby as Tilsa
A Fall from Grace,Thriller,17-Jan-20,2 hours,N/A,N/A,Tyler Perry,Michael Ray Davis as Judge
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Larissa Manoela
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Erasmo Carlos
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Katiuscia Canoro
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,André Frambach
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Michel Bercovitch
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Sílvia Lourenço
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Mariana Amâncio
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Phellyx Moura
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Nayobe Nzainab
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Eike Duarte
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Amanda Orestes
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Helga Nemetik
Airplane Mode,Comedy,23-Jan-20,"1 hour, 36 min.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Airplane_Mode_2020_poster.jpg/220px-Airplane_Mode_2020_poster.jpg,https://en.wikipedia.org/wiki/File:Airplane_Mode_2020_poster.jpg,N/A,Adriano Fanti
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Alison Brie as Sarah
Victoria Claire as Young Sarah"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Victoria Claire as Young Sarah
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Debby Ryan as Nikki, Sarah's roommate"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"John Reynolds as Darren, Sarah's love-interest"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Molly Shannon as Joan, Sarah's coworker"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"John Ortiz as Ron, an owner of a plumbing company"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Jay Duplass as Ethan, a social worker"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Robin Tunney as Agatha Kaine, a character in Purgatory"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Paul Reiser as Gary, Sarah's stepdad"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Matthew Gray Gubler as Darren Colt, a character in Purgatory"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Meredith Hagner as Heather
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Zoe Saltz as Young Heather
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Jake Picking as Brian, Nikki's boyfriend"
