movie_name,movie_Genre,movie_poster,movie_poster_url,movie_director,movie_amount,movie_cast_members_name,movie_release_date,movie_runtime
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Lili Taylor as Judy, Ellen's mother",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Alex Sharp as Luke, 19-year-old patient with anorexia/ binge eating disorder",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Liana Liberato as Kelly, Ellen's 18-year-old half sister",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Brooke Smith as Olive, Judy's wife",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Leslie Bibb as Megan, a patient with anorexia and bulimia",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Kathryn Prescott as Anna, a patient with bulimia",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Ciara Bravo as Tracy, a patient with bulimia",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Maya Eshet as Pearl, a patient with anorexia",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Lindsay McDowell as Kendra, a patient with binge-eating disorder",14-Jul-17,"1 hour, 47 min."
To the Bone,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/ToTheBonePoster.jpg/220px-ToTheBonePoster.jpg,https://en.wikipedia.org/wiki/File:ToTheBonePoster.jpg,Marti Noxon,N/A,"Retta as Lobo, the in-patient nurse",14-Jul-17,"1 hour, 47 min."
