movie_name,movie_Genre,movie_poster,movie_poster_url,movie_director,movie_amount,movie_cast_members_name,movie_release_date,movie_runtime
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Jesse Plemons as Toby Harbor,31-Mar-17,"1 hour, 42 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Riley Keough as Lacey,31-Mar-17,"1 hour, 42 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Robert Redford as Thomas Harbor,31-Mar-17,"1 hour, 42 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Ron Canada as Cooper,31-Mar-17,"1 hour, 42 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Mary Steenburgen as Interviewer,31-Mar-17,"1 hour, 42 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,"Jake Johnson as Eddie Garrett, a recovering gambling addict.",7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,"Aislinn Derbez as Eva, Eddie's love interest",7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,"Joe Lo Truglio as Ron Garrett, Eddie's older brother who runs a company and hires Eddie.",7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,"Keegan-Michael Key as Gene, Eddie's recovery sponsor",7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,Nicky Excitement as Nick,7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,"Jose A. Garcia as Michael, a local thug who is going to serve a prison sentence and who entrusts Eddie with the bag",7-Apr-17,"1 hour, 28 min."
Win It All,Comedy,https://upload.wikimedia.org/wikipedia/en/3/3f/Win_It_All.jpg,https://en.wikipedia.org/wiki/File:Win_It_All.jpg,Joe Swanberg,N/A,Kris Swanberg as Kris,7-Apr-17,"1 hour, 28 min."
Sandy Wexler,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Sandy_Wexler.jpg/220px-Sandy_Wexler.jpg,https://en.wikipedia.org/wiki/File:Sandy_Wexler.jpg,Steven Brill,$24.3 million,Adam Sandler as Sandy Wexler,14-Apr-17,"2 hours, 11 min."
Sandy Wexler,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Sandy_Wexler.jpg/220px-Sandy_Wexler.jpg,https://en.wikipedia.org/wiki/File:Sandy_Wexler.jpg,Steven Brill,$24.3 million,Jennifer Hudson as Courtney Clarke,14-Apr-17,"2 hours, 11 min."
Sandy Wexler,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Sandy_Wexler.jpg/220px-Sandy_Wexler.jpg,https://en.wikipedia.org/wiki/File:Sandy_Wexler.jpg,Steven Brill,$24.3 million,Kevin James as Ted Rafferty,14-Apr-17,"2 hours, 11 min."
Sandy Wexler,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Sandy_Wexler.jpg/220px-Sandy_Wexler.jpg,https://en.wikipedia.org/wiki/File:Sandy_Wexler.jpg,Steven Brill,$24.3 million,"Terry Crews as ""Bedtime"" Bobby Barnes",14-Apr-17,"2 hours, 11 min."
Sandy Wexler,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Sandy_Wexler.jpg/220px-Sandy_Wexler.jpg,https://en.wikipedia.org/wiki/File:Sandy_Wexler.jpg,Steven Brill,$24.3 million,"Shad Gaspard as ""Bedtime"" Bobby Barnes (in-ring)",14-Apr-17,"2 hours, 11 min."
